pc,S.N.,name,party,EVM Votes,Postal Votes,Votes_Total,% of Votes
TIRUVALLUR,1,Sasikanth Senthil,INC,794608,2348,796956,56.21
TIRUVALLUR,2,"Balaganapathy, V. Pon",BJP,224042,759,224801,15.86
TIRUVALLUR,3,"Nallathambi, K.",DMDK,223550,354,223904,15.79
TIRUVALLUR,4,"Jagadesh Chander, M.",Naam Tamilar,120620,218,120838,8.52
TIRUVALLUR,5,"Tamizhmadhi, D.",Bahujan Samaj Party,13772,38,13810,0.97
TIRUVALLUR,6,"Ashok Priyadarshan, S.",Desiya Makkal Sakthi Katchi,2937,9,2946,0.21
TIRUVALLUR,7,Malathi,Naadaalum Makkal Katchi,2829,24,2853,0.2
TIRUVALLUR,8,"Mani, E.",Independent,2745,7,2752,0.19
TIRUVALLUR,9,"Devandhran, M.",Anna MGR Dravida Makkal Kalgam,2001,7,2008,0.14
TIRUVALLUR,10,"Manimaran, V.",Independent,1921,1,1922,0.14
TIRUVALLUR,11,"Balakrishnan, K.",Independent,1685,5,1690,0.12
TIRUVALLUR,12,"Bharathidasan, S.S.",Independent,1619,12,1631,0.12
TIRUVALLUR,13,"Shakthivel, A.J.",Independent,1605,8,1613,0.11
TIRUVALLUR,14,"Sivasankaran, V.",Independent,1105,5,1110,0.08
TIRUVALLUR,15,NOTA,None of the Above,18908,70,18978,1.34
CHENNAI NORTH,1,KALANIDHI VEERASWAMY,DMK,495733,1600,497333,55.11
CHENNAI NORTH,2,R. MANOHAR,AIADMK,157631,480,158111,17.52
CHENNAI NORTH,3,R.C. PAUL KANAGARAJ,BJP,112628,690,113318,12.56
CHENNAI NORTH,4,AMUDINI,Naam Tamilar,95715,239,95954,10.63
CHENNAI NORTH,5,SARAH FATHIMA,Independent,5899,24,5923,0.66
CHENNAI NORTH,6,E. IQBAL,Bahujan Samaj Party,3471,15,3486,0.39
CHENNAI NORTH,7,MOORTHY. V,Independent,3131,6,3137,0.35
CHENNAI NORTH,8,SURIYAMUTHU,Independent,976,2,978,0.11
CHENNAI NORTH,9,C. SENAPATHI,Independent,850,-,850,0.09
CHENNAI NORTH,10,DILLI GANESH. E,Independent,735,1,736,0.08
CHENNAI NORTH,11,U. VENKATESH,Independent,709,5,714,0.08
CHENNAI NORTH,12,M. ZION RAJ,Independent,696,1,697,0.08
CHENNAI NORTH,13,A. AJITHKUMAR,Thakkam Katchi,671,2,673,0.07
CHENNAI NORTH,14,J. SEBASTIN,Socialist Unity Centre Of India (COMMUNIST),586,2,588,0.07
CHENNAI NORTH,15,AKSHAY,Naadaalum Makkal Katchi,563,3,566,0.06
CHENNAI NORTH,16,B. BALAMURUGAN,Independent,485,3,488,0.05
CHENNAI NORTH,17,K.PALANIAPPAN,Independent,460,2,462,0.05
CHENNAI NORTH,18,R. SENTHIL KUMAR,Independent,457,-,457,0.05
CHENNAI NORTH,19,MATHANKUMAR. G,Independent,390,-,390,0.04
CHENNAI NORTH,20,P. JAYASELAN,Independent,386,-,386,0.04
CHENNAI NORTH,21,M. KOLANJI,Independent,361,1,362,0.04
CHENNAI NORTH,22,B. ZAKIR HUSSAIN,Independent,354,1,355,0.04
CHENNAI NORTH,23,P. UMADEVI,Independent,346,-,346,0.04
CHENNAI NORTH,24,K.C.JAYAPRAKASH,Independent,334,-,334,0.04
CHENNAI NORTH,25,C. SRIDHAR,Independent,307,-,307,0.03
CHENNAI NORTH,26,T. MANOHARAN,Independent,293,-,293,0.03
CHENNAI NORTH,27,K. SAMPATH,Independent,268,1,269,0.03
CHENNAI NORTH,28,D. SRINIVASAN,Independent,260,1,261,0.03
CHENNAI NORTH,29,S. RAVIKUMAR,Republican Party of India  (Sivaraj),258,1,259,0.03
CHENNAI NORTH,30,T. KAVIYARASU,Independent,250,2,252,0.03
CHENNAI NORTH,31,SATHISH. B,Independent,245,1,246,0.03
CHENNAI NORTH,32,R.VINAYAGAMOORTHY,Independent,206,-,206,0.02
CHENNAI NORTH,33,D. KABILAN,Independent,203,6,209,0.02
CHENNAI NORTH,34,P. MARIMUTHU,Independent,171,1,172,0.02
CHENNAI NORTH,35,V.MADHAN MOHAN,Independent,163,-,163,0.02
CHENNAI NORTH,36,NOTA,None of the Above,13139,69,13208,1.46
CHENNAI SOUTH,1,THAMIZHACHI THANGAPANDIAN,DMK,515307,1321,516628,47
CHENNAI SOUTH,2,DR.TAMILISAI SOUNDARARAJAN,BJP,289229,1454,290683,26.44
CHENNAI SOUTH,3,J.JAYAVARDHAN,AIADMK,172108,383,172491,15.69
CHENNAI SOUTH,4,S.TAMILCHELVI,Naam Tamilar,83821,151,83972,7.64
CHENNAI SOUTH,5,M.G.RAMU,Jebamani Janata,3526,8,3534,0.32
CHENNAI SOUTH,6,M.AZARUTHEEN,Independent,1808,4,1812,0.16
CHENNAI SOUTH,7,G.P. ROBERT,Bahujan Samaj Party,1596,3,1599,0.15
CHENNAI SOUTH,8,R.RAVICHANDRAN,Independent,835,-,835,0.08
CHENNAI SOUTH,9,S.MANIMARAN,Independent,803,-,803,0.07
CHENNAI SOUTH,10,FARMER JAYARAMAN. S.K.J,Desiya Makkal Sakthi Katchi,790,2,792,0.07
CHENNAI SOUTH,11,A.K.D. ELLAPPAN,Mahathma Makkal Munnetra Kazhakam,761,-,761,0.07
CHENNAI SOUTH,12,K.KANNAN,Independent,625,-,625,0.06
CHENNAI SOUTH,13,BALAJI. G. MANGADU,Aravor Munnetra Kazhagam,588,1,589,0.05
CHENNAI SOUTH,14,KUTTIMANI. S,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,565,-,565,0.05
CHENNAI SOUTH,15,R.KANCHANA,Tamizhaga Murpokku Makkal Katchi,565,1,566,0.05
CHENNAI SOUTH,16,SASI REKHA,Naadaalum Makkal Katchi,557,2,559,0.05
CHENNAI SOUTH,17,P. SATHEESH KUMAR,Independent,520,1,521,0.05
CHENNAI SOUTH,18,P.SEKAR,Thakkam Katchi,435,-,435,0.04
CHENNAI SOUTH,19,R.YOGESHWARAN,Independent,425,1,426,0.04
CHENNAI SOUTH,20,J. SATHISH,Independent,418,-,418,0.04
CHENNAI SOUTH,21,V.P. RAVIKKARAN,Independent,372,1,373,0.03
CHENNAI SOUTH,22,A.PONNUDURAI,Independent,362,-,362,0.03
CHENNAI SOUTH,23,N.V.DAMODARAN,National Maha Sabha Party,341,2,343,0.03
CHENNAI SOUTH,24,M.MUNUSWAMY,Viro Ke Vir Indian Party,326,4,330,0.03
CHENNAI SOUTH,25,KARTHIK MURTHY,Independent,312,3,315,0.03
